;date;avg_ticket_amount_a;num_customers_a;num_transactions_a;total_sales_a
;01 May 2018;10.38;16;22;228.3
;02 May 2018;29.08;11;14;407.1
;03 May 2018;6.72;8;13;87.34
;04 May 2018;20.59;10;14;288.3
;06 May 2018;8.72;17;21;183.2
;07 May 2018;16.63;13;16;266.1
;08 May 2018;10.51;26;32;336.4
;09 May 2018;11.48;14;16;183.7
;10 May 2018;28.6;6;6;171.6
;11 May 2018;9.05;16;16;144.7
;13 May 2018;12.73;14;19;241.8
;14 May 2018;9.75;28;31;302.1
;15 May 2018;10.67;7;8;85.33
;16 May 2018;16.02;10;11;176.3
;17 May 2018;11.85;10;11;130.3
;18 May 2018;4.31;11;12;51.68
;20 May 2018;9.32;8;8;74.54
;21 May 2018;9.9;30;32;316.8
;22 May 2018;5.09;10;10;50.94
;23 May 2018;18.66;13;13;242.6
;24 May 2018;8.99;14;19;170.8
;25 May 2018;20.76;11;14;290.6
;27 May 2018;12.14;13;13;157.8
;28 May 2018;12.03;32;34;409.2
;29 May 2018;7.79;15;17;132.4
;30 May 2018;8.97;12;13;116.6
;02 Jun 2018;77.73;1;2;155.5
;03 Jun 2018;16.83;12;14;235.6
;04 Jun 2018;8.26;12;14;115.6
;05 Jun 2018;15.92;23;26;414.0
;06 Jun 2018;15.0;15;24;360.0
;07 Jun 2018;5.39;10;12;64.62
;08 Jun 2018;23.02;14;14;322.3
;09 Jun 2018;2.99;1;1;2.99
;10 Jun 2018;7.72;15;17;131.3
;11 Jun 2018;19.5;20;25;487.5
;12 Jun 2018;11.43;9;10;114.3
;14 Jun 2018;8.82;20;22;194.0
;15 Jun 2018;18.51;10;11;203.6
;17 Jun 2018;10.49;15;17;178.3
;18 Jun 2018;13.95;24;26;362.6
;19 Jun 2018;14.93;15;17;253.8
;20 Jun 2018;15.64;13;14;219.0
;21 Jun 2018;8.03;11;12;96.39
;22 Jun 2018;10.75;16;16;172.0
;24 Jun 2018;17.5;18;19;332.4
;25 Jun 2018;11.93;32;35;417.6
;26 Jun 2018;17.86;11;11;196.5
;27 Jun 2018;7.47;18;21;156.9
;28 Jun 2018;8.77;9;13;114
;29 Jun 2018;9.32;16;19;177.0
;30 Jun 2018;3.18;1;1;3.18
